estacion,anio,mes,comunidad,orientacion,altitud_base_m,altitud_cima_m,desnivel_m,umbria,dias_abierta,dias_totales,pct_dias_abierta,km_abiertos_med,pct_remontes_med,pct_pistas_med,pct_km_med,espesor_max_med,espesor_min_med,dias_nieve_polvo,dias_nieve_dura,dias_nieve_artificial,dias_nieve_pisada,dias_nieve_primavera,dias_finde,dias_festivo,dias_semana_navidad,dias_semana_santa,dias_temporada_esqui,temp_max_med,temp_min_med,temp_media_med,precipitacion_total,nieve_total_cm,viento_max_med,zona_hotelera,ocupacion_general_pct,ocupacion_finde_pct
Alto Campoo,2018,1,Cantabria,N,1530,2175,645,1,30,30,1.0,15.015999999999998,0.725,0.643939393939394,0.5420938628158845,69.33333333333333,15.0,16,8,0,0,1,8,1,1,0,30,,,,0.0,0.0,,,,
Alto Campoo,2018,2,Cantabria,N,1530,2175,645,1,24,27,0.8888888888888888,15.495833333333332,0.6840277777777778,0.6098484848484849,0.5594163658243081,165.19230769230768,73.46153846153847,21,3,0,0,0,7,1,0,0,27,,,,0.0,0.0,,,,
Alto Campoo,2018,3,Cantabria,N,1530,2175,645,1,25,28,0.8928571428571429,15.2684,0.68,0.5727272727272728,0.5512057761732853,219.23076923076923,89.03846153846153,18,10,0,0,0,7,1,0,1,28,,,,0.0,0.0,,,,
Alto Campoo,2018,4,Cantabria,N,1530,2175,645,1,25,29,0.8620689655172413,16.236800000000002,0.5766666666666667,0.6509090909090909,0.5861660649819495,254.13793103448276,120.0,4,1,0,0,22,8,1,0,0,29,,,,0.0,0.0,,,,
Alto Campoo,2018,5,Cantabria,N,1530,2175,645,1,1,31,0.03225806451612903,17.24,0.75,0.7727272727272727,0.6223826714801444,190.0,60.0,1,0,0,0,0,8,2,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2018,6,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,9,0,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2018,7,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,9,0,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2018,8,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,8,1,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2018,9,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,10,1,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2018,10,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,8,1,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2018,11,Cantabria,N,1530,2175,645,1,2,30,0.06666666666666667,1.25,0.25,0.0909090909090909,0.0411454904542462,27.5,15.0,0,0,0,0,1,8,1,0,0,30,,,,0.0,0.0,,,,
Alto Campoo,2018,12,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,10,4,2,0,31,,,,0.0,0.0,,,,
Alto Campoo,2019,1,Cantabria,N,1530,2175,645,1,20,31,0.6451612903225806,8.764,0.4166666666666667,0.32727272727272727,0.28847926267281104,73.0,24.5,14,5,0,0,0,8,2,2,0,31,,,,0.0,0.0,,,,
Alto Campoo,2019,2,Cantabria,N,1530,2175,645,1,27,28,0.9642857142857143,24.465185185185188,0.8981481481481481,0.9242424242424242,0.8053056347987224,174.44444444444446,74.81481481481481,13,23,0,0,0,8,1,0,0,28,,,,0.0,0.0,,,,
Alto Campoo,2019,3,Cantabria,N,1530,2175,645,1,29,29,1.0,20.730689655172416,0.9022988505747127,0.7727272727272727,0.6823795146534699,126.03448275862068,26.724137931034484,6,9,0,0,17,9,0,0,0,29,,,,0.0,0.0,,,,
Alto Campoo,2019,4,Cantabria,N,1530,2175,645,1,18,29,0.6206896551724138,16.611666666666665,0.8055555555555556,0.6565656565656566,0.5467961378099626,86.84210526315789,20.0,5,1,0,0,13,8,3,0,2,29,,,,0.0,0.0,,,,
Alto Campoo,2019,5,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,8,2,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2019,6,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,10,0,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2019,7,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,8,0,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2019,8,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,9,1,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2019,9,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,9,1,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2019,10,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,8,1,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2019,11,Cantabria,N,1530,2175,645,1,9,30,0.3,13.562222222222223,0.5925925925925926,0.5410628019323671,0.4464194279862483,55.0,23.88888888888889,2,2,0,0,0,9,1,0,0,30,,,,0.0,0.0,,,,
Alto Campoo,2019,12,Cantabria,N,1530,2175,645,1,26,31,0.8387096774193549,14.137307692307692,0.6506410256410257,0.5735785953177257,0.4653491669620701,43.96551724137931,13.620689655172415,5,17,0,0,0,9,4,2,0,31,,,,0.0,0.0,,,,
Alto Campoo,2020,1,Cantabria,N,1530,2175,645,1,28,31,0.9032258064516129,10.126785714285715,0.5595238095238095,0.42236024844720493,0.33333725195147185,40.5,11.5,14,23,0,0,0,8,2,2,0,31,,,,0.0,0.0,,,,
Alto Campoo,2020,2,Cantabria,N,1530,2175,645,1,17,27,0.6296296296296297,7.619411764705882,0.5049019607843137,0.329923273657289,0.2508035472253417,34.166666666666664,10.0,1,7,0,0,5,7,1,0,0,27,,,,0.0,0.0,,,,
Alto Campoo,2020,3,Cantabria,N,1530,2175,645,1,4,31,0.12903225806451613,1.9175,0.18749999999999994,0.0543478260869565,0.06311718235681366,20.0,,0,0,0,0,3,9,0,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2020,4,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,8,3,0,2,30,,,,0.0,0.0,,,,
Alto Campoo,2020,5,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,10,2,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2020,6,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,8,0,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2020,7,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,8,0,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2020,8,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,10,1,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2020,9,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,8,1,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2020,10,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,9,1,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2020,11,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,9,1,0,0,30,,,,0.0,0.0,,,,
Alto Campoo,2020,12,Cantabria,N,1530,2175,645,1,1,31,0.03225806451612903,18.29,0.75,0.6956521739130435,0.6020408163265306,70.0,40.0,1,0,0,0,0,8,4,2,0,31,,,,0.0,0.0,,,,
Alto Campoo,2021,1,Cantabria,N,1530,2175,645,1,28,31,0.9032258064516129,18.587857142857143,0.755952380952381,0.7189440993788819,0.6118451989090568,138.33333333333334,71.66666666666667,21,11,0,0,3,10,2,2,0,31,,,,0.0,0.0,,,,
Alto Campoo,2021,2,Cantabria,N,1530,2175,645,1,25,28,0.8928571428571429,12.7568,0.62,0.5008695652173912,0.4199078341013825,64.44444444444444,24.444444444444443,8,7,0,0,11,8,1,0,0,28,,,,0.0,0.0,,,,
