edad_rango,ciudad,dias_temporada,estaciones_habituales,dificultad_acceso,hora_llegada,colas,tiempo_colas,valoracion,mejoras_sugeridas,mejor_estacion,utilidad_app,features_app,mejor_estacion_limpia,mejor_estacion_norm,estaciones_habituales_limpia,estaciones_habituales_norm,hab_baqueira_beret,hab_formigal_panticosa,hab_astun_candanchu,hab_sierra_nevada,hab_valdesqui,hab_la_molina_masella,hab_cerler,hab_port_aine,hab_san_isidro,hab_llanos_hospital,hab_navafria,hab_ezcaray,hab_xanadu,hab_alto_campoo,hab_javalambre,hab_la_pinilla,hab_valdelinares,hab_puerto_navacerrada,hab_aramon,hab_extranjero,edad_escala,dias_temporada_limpia,dias_escala,hora_llegada_escala,dificultad_acceso_escala,colas_escala,tiempo_colas_escala,utilidad_app_escala
18-30 años,Madrid,8-15 días,"Baqueira/Beret, Sierra Nevada",Nunca,Antes de las 8:00,A veces,30-60 min,5,"Precio de forfaits, Comunicación del estado de pistas",Baqueira,"Sí, algo",,Baqueira,Baqueira/Beret,"Baqueira/Beret, Sierra Nevada","Baqueira/Beret, Sierra Nevada",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8-15 días,3,1,0,1,3,2
18-30 años,Madrid,4-7 días,"Baqueira/Beret, Formigal/Panticosa",A veces,Entre las 8:00 y las 9:00,Frecuentemente,30-60 min,4,"Gestión de colas en remontes, Información sobre afluencia, Precio de forfaits, Comunicación del estado de pistas",Formigal,"Sí, mucho",,Formigal,Formigal/Panticosa,"Baqueira/Beret, Formigal/Panticosa","Baqueira/Beret, Formigal/Panticosa",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4-7 días,2,2,1,2,3,3
18-30 años,Madrid,1-3 días,Formigal/Panticosa,A veces,Entre las 8:00 y las 9:00,A veces,30-60 min,3,"Gestión de colas en remontes, Precio de forfaits, Comunicación del estado de pistas",Formigal,"Sí, mucho",Tiempo aproximado de espera en cada telesilla,Formigal,Formigal/Panticosa,Formigal/Panticosa,Formigal/Panticosa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1-3 días,1,2,1,1,3,3
18-30 años,Madrid,Más de 20 días,"Astún/Candanchú, Sierra Nevada",A veces,Antes de las 8:00,A veces,Más de 1 hora,3,"Gestión de colas en remontes, Precio de forfaits, Comunicación del estado de pistas",Cerler,"Sí, mucho",% de ocupación de la estación,Cerler,Cerler,"Astún/Candanchú, Sierra Nevada","Astún/Candanchú, Sierra Nevada",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16+ días,4,1,1,1,4,3
18-30 años,Madrid,1-3 días,Formigal/Panticosa,A veces,Antes de las 8:00,A veces,10-30 min,4,"Precio de forfaits, Comunicación del estado de pistas",no se ,"Sí, mucho",precios y horarios,no se,No lo sé,Formigal/Panticosa,Formigal/Panticosa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1-3 días,1,1,1,1,2,3
18-30 años,Madrid,1-3 días,"Baqueira/Beret, Formigal/Panticosa, Astún/Candanchú",A veces,Entre las 8:00 y las 9:00,A veces,10-30 min,4,"Control de acceso y parking, Precio de forfaits",Baqueira/Beret,"Sí, mucho",Todo,Baqueira/Beret,Baqueira/Beret,"Baqueira/Beret, Formigal/Panticosa, Astún/Candanchú","Baqueira/Beret, Formigal/Panticosa, Astún/Candanchú",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1-3 días,1,2,1,1,2,3
18-30 años,Madrid,1-3 días,Ezcaray,A veces,Antes de las 8:00,A veces,10-30 min,3,"Gestión de colas en remontes, Control de acceso y parking, Información sobre afluencia, Precio de forfaits, Comunicación del estado de pistas",No se 🥲,"Sí, mucho","Afluencia de gente, estado de las pistas, recomendaciones y precios de forfaits",No se,No lo sé,Ezcaray,Ezcaray,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1-3 días,1,1,1,1,2,3
46-60 años,Madrid,8-15 días,"Formigal/Panticosa, Astún/Candanchú",Frecuentemente,Entre las 8:00 y las 9:00,A veces,10-30 min,2,"Gestión de colas en remontes, Control de acceso y parking, mejora de carreteras de acceso por problemas en días de nieve en calzada",formigal,"Sí, mucho","Información del estado de pistas, afluencia por zonas, estado carreteras",formigal,Formigal/Panticosa,"Formigal/Panticosa, Astún/Candanchú","Formigal/Panticosa, Astún/Candanchú",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8-15 días,3,2,2,1,2,3
18-30 años,Madrid,Más de 25 días,"Astún/Candanchú, Sierra Nevada, Valdesquí",Frecuentemente,Entre las 8:00 y las 9:00,Frecuentemente,30-60 min,2,"Información sobre afluencia, Precio de forfaits",🤷‍♂️,"Sí, mucho","IdicaR dificultad de las pistas a las que acceder con los remontes, estimacion de la afluencia media en los remontes y cantidad aproximada de personas a tiempo real en los remontes",,No lo sé,"Astún/Candanchú, Sierra Nevada, Valdesquí","Astún/Candanchú, Sierra Nevada, Valdesquí",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16+ días,4,2,2,2,3,3
18-30 años,Madrid,1-3 días,Astún/Candanchú,A veces,Entre las 8:00 y las 9:00,A veces,10-30 min,4,"Gestión de colas en remontes, Información sobre afluencia, Precio de forfaits",Astún ,"Sí, mucho",,Astún,Astún/Candanchú,Astún/Candanchú,Astún/Candanchú,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1-3 días,1,2,1,1,2,3
