fecha,gt_esquiar,gt_estaciones_esqui,gt_forfait_esqui,gt_baqueira,gt_sierra_nevada,gt_formigal,gt_valdesque,gt_la_molina,gt_cerler,gt_boi_taull,gt_masella,gt_astun,gt_la_pinilla,anio,mes
2018-01-01,73,2,1,44,51,5,23,25,35,0,32,32,39,2018,1
2018-02-01,66,2,1,46,47,9,23,31,37,0,39,32,31,2018,2
2018-03-01,34,1,0,30,81,14,17,20,29,0,24,25,21,2018,3
2018-04-01,12,1,0,7,50,4,12,5,7,0,13,10,8,2018,4
2018-05-01,5,0,0,2,16,1,1,3,2,0,3,2,3,2018,5
2018-06-01,4,0,0,2,12,1,0,3,3,0,2,2,3,2018,6
2018-07-01,5,0,0,3,17,2,0,4,4,0,2,3,2,2018,7
2018-08-01,8,0,0,4,17,2,0,6,6,0,2,5,2,2018,8
2018-09-01,11,1,0,4,14,1,0,4,2,0,3,2,2,2018,9
2018-10-01,20,1,0,10,29,4,1,5,4,0,10,4,2,2018,10
2018-11-01,37,2,0,17,51,11,4,8,14,0,24,10,4,2018,11
2018-12-01,52,3,0,36,69,22,4,15,35,0,24,23,6,2018,12
2019-01-01,62,3,1,25,87,29,10,22,38,0,29,33,20,2019,1
2019-02-01,56,2,1,10,83,24,17,19,29,0,25,28,23,2019,2
2019-03-01,22,1,0,6,50,12,6,10,17,0,12,20,7,2019,3
2019-04-01,14,1,0,3,53,7,4,7,11,0,14,12,5,2019,4
2019-05-01,6,0,0,1,13,1,0,2,3,0,3,2,2,2019,5
2019-06-01,5,0,0,1,11,1,0,3,3,0,3,2,2,2019,6
2019-07-01,6,0,0,1,14,1,0,4,3,0,2,3,2,2019,7
2019-08-01,9,0,0,2,16,2,0,5,4,0,2,4,2,2019,8
2019-09-01,13,0,0,2,16,2,0,3,3,0,2,2,2,2019,9
2019-10-01,15,1,0,3,24,3,1,3,3,0,4,4,2,2019,10
2019-11-01,41,2,1,8,67,19,7,10,17,0,21,19,8,2019,11
2019-12-01,63,3,1,13,81,21,8,17,27,0,28,26,10,2019,12
2020-01-01,64,3,2,13,99,25,15,25,29,0,33,29,15,2020,1
2020-02-01,41,2,1,9,64,20,4,17,26,0,20,29,6,2020,2
2020-03-01,13,1,0,6,25,11,3,7,13,0,11,15,3,2020,3
2020-04-01,5,0,0,1,8,1,1,1,2,0,2,1,1,2020,4
2020-05-01,5,0,0,1,6,1,0,1,1,0,1,1,1,2020,5
2020-06-01,5,0,0,1,5,1,0,2,2,0,1,2,1,2020,6
2020-07-01,4,0,0,1,8,1,0,4,3,0,1,4,2,2020,7
2020-08-01,6,0,0,2,11,1,0,7,5,0,2,7,2,2020,8
2020-09-01,9,1,0,2,8,2,1,4,3,0,2,3,3,2020,9
2020-10-01,13,1,0,3,14,3,1,4,3,0,4,5,2,2020,10
2020-11-01,15,1,0,3,16,2,2,4,3,0,6,3,2,2020,11
2020-12-01,39,4,1,11,60,5,7,13,9,0,21,12,6,2020,12
2021-01-01,48,2,1,7,60,3,20,5,6,0,7,12,15,2021,1
2021-02-01,23,1,0,3,24,2,16,4,3,0,6,11,5,2021,2
2021-03-01,20,1,0,4,32,1,9,9,2,1,14,13,2,2021,3
2021-04-01,6,0,0,1,15,1,1,2,1,0,4,3,1,2021,4
2021-05-01,5,0,0,1,6,1,0,2,1,0,1,2,1,2021,5
2021-06-01,4,0,0,1,5,1,0,2,1,0,1,2,2,2021,6
2021-07-01,4,0,0,2,7,1,0,3,2,0,1,4,2,2021,7
2021-08-01,7,0,0,2,11,1,0,6,3,0,2,6,2,2021,8
2021-09-01,9,1,0,2,8,1,0,3,1,0,2,3,1,2021,9
2021-10-01,15,0,0,2,12,2,0,3,2,0,3,3,2,2021,10
2021-11-01,39,3,1,9,40,14,4,9,10,2,15,11,4,2021,11
2021-12-01,77,3,1,34,71,32,7,22,24,6,32,26,13,2021,12
2022-01-01,86,4,3,28,85,39,9,24,26,7,31,37,12,2022,1
2022-02-01,56,2,1,34,69,31,6,17,26,5,26,26,7,2022,2
2022-03-01,29,1,1,21,65,16,15,12,17,1,17,20,7,2022,3
2022-04-01,16,1,0,12,36,9,11,6,7,1,10,12,4,2022,4
2022-05-01,5,0,0,3,7,1,1,2,1,0,1,2,1,2022,5
2022-06-01,5,0,0,2,5,1,0,2,2,0,2,3,1,2022,6
