codigo_punto_turistico;punto_turistico;indicador;tipo_periodo;anio;mes;fecha_mes_ref;periodo;ocupacion_pct
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2018;1;2018-01-01;2018M01;60.14
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2018;2;2018-02-01;2018M02;88.49
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2018;3;2018-03-01;2018M03;71.29
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2018;4;2018-04-01;2018M04;35.93
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2018;5;2018-05-01;2018M05;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2018;6;2018-06-01;2018M06;54.5
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2018;7;2018-07-01;2018M07;64.68
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2018;8;2018-08-01;2018M08;68.58
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2018;9;2018-09-01;2018M09;49.63
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2018;10;2018-10-01;2018M10;55.9
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2018;11;2018-11-01;2018M11;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2018;12;2018-12-01;2018M12;58.3
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2019;1;2019-01-01;2019M01;70.09
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2019;2;2019-02-01;2019M02;81.4
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2019;3;2019-03-01;2019M03;78.05
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2019;4;2019-04-01;2019M04;38.51
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2019;5;2019-05-01;2019M05;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2019;6;2019-06-01;2019M06;64.03
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2019;7;2019-07-01;2019M07;67.08
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2019;8;2019-08-01;2019M08;66.86
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2019;9;2019-09-01;2019M09;49.57
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2019;10;2019-10-01;2019M10;45.17
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2019;11;2019-11-01;2019M11;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2019;12;2019-12-01;2019M12;64.35
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2020;1;2020-01-01;2020M01;78.09
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2020;2;2020-02-01;2020M02;85.79
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2020;3;2020-03-01;2020M03;45.85
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2020;4;2020-04-01;2020M04;0.0
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2020;5;2020-05-01;2020M05;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2020;6;2020-06-01;2020M06;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2020;7;2020-07-01;2020M07;46.02
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2020;8;2020-08-01;2020M08;70.32
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2020;9;2020-09-01;2020M09;58.76
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2020;10;2020-10-01;2020M10;32.57
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2020;11;2020-11-01;2020M11;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2020;12;2020-12-01;2020M12;4.21
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2021;1;2021-01-01;2021M01;17.67
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2021;2;2021-02-01;2021M02;15.55
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2021;3;2021-03-01;2021M03;12.86
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2021;4;2021-04-01;2021M04;8.56
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2021;5;2021-05-01;2021M05;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2021;6;2021-06-01;2021M06;65.32
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2021;7;2021-07-01;2021M07;50.07
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2021;8;2021-08-01;2021M08;80.51
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2021;9;2021-09-01;2021M09;59.84
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2021;10;2021-10-01;2021M10;38.38
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2021;11;2021-11-01;2021M11;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2021;12;2021-12-01;2021M12;47.78
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2022;1;2022-01-01;2022M01;66.62
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2022;2;2022-02-01;2022M02;79.79
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2022;3;2022-03-01;2022M03;64.94
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2022;4;2022-04-01;2022M04;38.0
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2022;5;2022-05-01;2022M05;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2022;6;2022-06-01;2022M06;61.4
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2022;7;2022-07-01;2022M07;55.96
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2022;8;2022-08-01;2022M08;72.71
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2022;9;2022-09-01;2022M09;64.21
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2022;10;2022-10-01;2022M10;37.72
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2022;11;2022-11-01;2022M11;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2022;12;2022-12-01;2022M12;30.41
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2023;1;2023-01-01;2023M01;54.95
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2023;2;2023-02-01;2023M02;81.62
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2023;3;2023-03-01;2023M03;67.83
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2023;4;2023-04-01;2023M04;21.18
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2023;5;2023-05-01;2023M05;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2023;6;2023-06-01;2023M06;69.03
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2023;7;2023-07-01;2023M07;52.91
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2023;8;2023-08-01;2023M08;70.75
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2023;9;2023-09-01;2023M09;52.65
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2023;10;2023-10-01;2023M10;67.58
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2023;11;2023-11-01;2023M11;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2023;12;2023-12-01;2023M12;54.73
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2024;1;2024-01-01;2024M01;46.25
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2024;2;2024-02-01;2024M02;66.54
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2024;3;2024-03-01;2024M03;67.88
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2024;4;2024-04-01;2024M04;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2024;5;2024-05-01;2024M05;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2024;6;2024-06-01;2024M06;57.2
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2024;7;2024-07-01;2024M07;68.67
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2024;8;2024-08-01;2024M08;67.62
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2024;9;2024-09-01;2024M09;51.73
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2024;10;2024-10-01;2024M10;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2024;11;2024-11-01;2024M11;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2024;12;2024-12-01;2024M12;54.9
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2025;1;2025-01-01;2025M01;58.34
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2025;2;2025-02-01;2025M02;83.82
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2025;3;2025-03-01;2025M03;64.18
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2025;4;2025-04-01;2025M04;49.81
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2025;5;2025-05-01;2025M05;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2025;6;2025-06-01;2025M06;78.43
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2025;7;2025-07-01;2025M07;62.15
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2025;8;2025-08-01;2025M08;54.66
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2025;9;2025-09-01;2025M09;63.39
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2025;10;2025-10-01;2025M10;47.0
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2025;11;2025-11-01;2025M11;
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2025;12;2025-12-01;2025M12;50.7
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2026;1;2026-01-01;2026M01;72.75
22054;Benasque;Grado de ocupación por plazas en fin de semana;fin_de_semana;2026;2;2026-02-01;2026M02;83.34
22054;Benasque;Grado de ocupación por plazas;general;2018;1;2018-01-01;2018M01;61.99
22054;Benasque;Grado de ocupación por plazas;general;2018;2;2018-02-01;2018M02;75.78
22054;Benasque;Grado de ocupación por plazas;general;2018;3;2018-03-01;2018M03;60.95
22054;Benasque;Grado de ocupación por plazas;general;2018;4;2018-04-01;2018M04;44.73
22054;Benasque;Grado de ocupación por plazas;general;2018;5;2018-05-01;2018M05;
22054;Benasque;Grado de ocupación por plazas;general;2018;6;2018-06-01;2018M06;33.83
22054;Benasque;Grado de ocupación por plazas;general;2018;7;2018-07-01;2018M07;52.61
22054;Benasque;Grado de ocupación por plazas;general;2018;8;2018-08-01;2018M08;69.86
22054;Benasque;Grado de ocupación por plazas;general;2018;9;2018-09-01;2018M09;40.41
22054;Benasque;Grado de ocupación por plazas;general;2018;10;2018-10-01;2018M10;32.86
22054;Benasque;Grado de ocupación por plazas;general;2018;11;2018-11-01;2018M11;
22054;Benasque;Grado de ocupación por plazas;general;2018;12;2018-12-01;2018M12;58.02
22054;Benasque;Grado de ocupación por plazas;general;2019;1;2019-01-01;2019M01;64.41
22054;Benasque;Grado de ocupación por plazas;general;2019;2;2019-02-01;2019M02;74.89
22054;Benasque;Grado de ocupación por plazas;general;2019;3;2019-03-01;2019M03;55.16
22054;Benasque;Grado de ocupación por plazas;general;2019;4;2019-04-01;2019M04;25.34
22054;Benasque;Grado de ocupación por plazas;general;2019;5;2019-05-01;2019M05;
22054;Benasque;Grado de ocupación por plazas;general;2019;6;2019-06-01;2019M06;38.56
22054;Benasque;Grado de ocupación por plazas;general;2019;7;2019-07-01;2019M07;51.69
22054;Benasque;Grado de ocupación por plazas;general;2019;8;2019-08-01;2019M08;71.68
22054;Benasque;Grado de ocupación por plazas;general;2019;9;2019-09-01;2019M09;39.66
22054;Benasque;Grado de ocupación por plazas;general;2019;10;2019-10-01;2019M10;31.85
22054;Benasque;Grado de ocupación por plazas;general;2019;11;2019-11-01;2019M11;
22054;Benasque;Grado de ocupación por plazas;general;2019;12;2019-12-01;2019M12;53.88
