estacion,fecha,estado_abierta,remontes_abiertos,remontes_total,pistas_abiertas,pistas_total,kilometros_abiertos,kilometros_total,espesor_minimo,espesor_maximo,tipo_nieve,anio,mes,dia_semana,es_finde,nombre_mes,es_temporada_esqui,temporada_esqui,temporada_inicio,tipo_nieve_limpia,nieve_polvo,nieve_dura,nieve_humeda,nieve_primavera,nieve_artificial,nieve_pisada,pct_remontes_abiertos,pct_pistas_abiertas,pct_km_abiertos
Alto Campoo,2009-11-30,0,,13,,23,,27.77,,,Cerrada,2009,11,0,0,noviembre,True,2009/2010,2009,,0,0,0,0,0,0,,,
Alto Campoo,2009-12-01,0,,13,,23,,27.77,,,Cerrada,2009,12,1,0,diciembre,True,2009/2010,2009,,0,0,0,0,0,0,,,
Alto Campoo,2009-12-02,0,,13,,23,,27.77,,,Cerrada,2009,12,2,0,diciembre,True,2009/2010,2009,,0,0,0,0,0,0,,,
Alto Campoo,2009-12-03,0,,13,,23,,27.77,,,Cerrada,2009,12,3,0,diciembre,True,2009/2010,2009,,0,0,0,0,0,0,,,
Alto Campoo,2009-12-04,0,,13,,23,,27.77,,,Cerrada,2009,12,4,0,diciembre,True,2009/2010,2009,,0,0,0,0,0,0,,,
Alto Campoo,2009-12-05,0,,13,,23,,27.77,,,Cerrada,2009,12,5,1,diciembre,True,2009/2010,2009,,0,0,0,0,0,0,,,
Alto Campoo,2009-12-09,0,,13,,23,,27.77,,,Cerrada,2009,12,2,0,diciembre,True,2009/2010,2009,,0,0,0,0,0,0,,,
Alto Campoo,2009-12-11,0,,13,,23,,27.77,,,Cerrada,2009,12,4,0,diciembre,True,2009/2010,2009,,0,0,0,0,0,0,,,
Alto Campoo,2009-12-14,0,,13,,23,,27.77,,,Cerrada,2009,12,0,0,diciembre,True,2009/2010,2009,,0,0,0,0,0,0,,,
Alto Campoo,2009-12-16,0,,13,,23,,27.77,,,Cerrada,2009,12,2,0,diciembre,True,2009/2010,2009,,0,0,0,0,0,0,,,
Alto Campoo,2009-12-19,0,9,13,14,23,13.68,27.77,20.0,40.0,Previsión Apertura,2009,12,5,1,diciembre,True,2009/2010,2009,,0,0,0,0,0,0,0.6923076923076923,0.6086956521739131,0.49261793302124596
Alto Campoo,2009-12-21,1,10,13,15,23,16.19,27.77,60.0,80.0,Polvo,2009,12,0,0,diciembre,True,2009/2010,2009,Polvo,1,0,0,0,0,0,0.7692307692307693,0.6521739130434783,0.5830032409074541
Alto Campoo,2009-12-23,1,10,13,15,23,16.19,27.77,60.0,80.0,Polvo,2009,12,2,0,diciembre,True,2009/2010,2009,Polvo,1,0,0,0,0,0,0.7692307692307693,0.6521739130434783,0.5830032409074541
Alto Campoo,2009-12-24,1,12,13,19,23,20.64,27.77,50.0,70.0,Húmeda,2009,12,3,0,diciembre,True,2009/2010,2009,Húmeda,0,0,1,0,0,0,0.9230769230769231,0.8260869565217391,0.7432481094706518
Alto Campoo,2009-12-28,1,12,13,16,23,18.53,27.77,40.0,60.0,Húmeda,2009,12,0,0,diciembre,True,2009/2010,2009,Húmeda,0,0,1,0,0,0,0.9230769230769231,0.6956521739130435,0.66726683471372
