fecha,municipio,estacion,temp_max_c,temp_min_c,temp_media_c,precipitacion_mm,nieve_cm,viento_max_kmh
2018-01-01,18134 Monachil,Sierra Nevada,5.5,-3.8,1.3,0.3,0.14,15.3
2018-01-02,18134 Monachil,Sierra Nevada,7.4,-1.0,4.6,0.0,0.0,9.0
2018-01-03,18134 Monachil,Sierra Nevada,9.0,3.5,7.0,0.0,0.0,4.9
2018-01-04,18134 Monachil,Sierra Nevada,9.1,4.4,7.1,0.0,0.0,6.3
2018-01-05,18134 Monachil,Sierra Nevada,8.5,-3.0,4.7,0.0,0.0,11.2
2018-01-06,18134 Monachil,Sierra Nevada,-1.4,-8.4,-4.4,24.2,16.87,12.1
2018-01-07,18134 Monachil,Sierra Nevada,-7.5,-10.1,-8.8,2.1,1.54,6.3
2018-01-08,18134 Monachil,Sierra Nevada,-5.1,-10.3,-8.1,3.3,2.38,4.9
2018-01-09,18134 Monachil,Sierra Nevada,-3.0,-11.8,-7.2,3.0,2.1,7.9
2018-01-10,18134 Monachil,Sierra Nevada,-0.1,-4.8,-2.6,16.9,11.13,13.4
2018-01-11,18134 Monachil,Sierra Nevada,-1.4,-10.3,-7.1,4.0,2.8,14.9
2018-01-12,18134 Monachil,Sierra Nevada,4.4,-11.0,-2.9,0.0,0.0,5.4
2018-01-13,18134 Monachil,Sierra Nevada,4.9,-6.4,1.0,3.1,2.17,10.5
2018-01-14,18134 Monachil,Sierra Nevada,-4.4,-7.9,-6.1,3.5,2.45,5.1
2018-01-15,18134 Monachil,Sierra Nevada,-5.7,-9.1,-7.4,0.0,0.0,3.6
2018-01-16,18134 Monachil,Sierra Nevada,8.7,-3.9,3.9,0.0,0.0,5.4
2018-01-17,18134 Monachil,Sierra Nevada,10.5,4.5,8.4,0.0,0.0,4.6
2018-01-18,18134 Monachil,Sierra Nevada,8.8,2.5,6.3,0.0,0.0,6.1
2018-01-19,18134 Monachil,Sierra Nevada,2.6,-2.0,0.1,0.6,0.42,7.2
2018-01-20,18134 Monachil,Sierra Nevada,3.7,-0.2,1.6,0.0,0.0,7.5
2018-01-21,18134 Monachil,Sierra Nevada,6.4,1.0,3.8,0.0,0.0,6.5
2018-01-22,18134 Monachil,Sierra Nevada,8.4,2.4,4.8,0.0,0.0,6.0
2018-01-23,18134 Monachil,Sierra Nevada,8.3,1.9,6.0,0.0,0.0,5.0
2018-01-24,18134 Monachil,Sierra Nevada,7.4,1.3,4.7,0.0,0.0,3.2
2018-01-25,18134 Monachil,Sierra Nevada,4.4,-2.6,1.7,1.8,1.26,9.7
2018-01-26,18134 Monachil,Sierra Nevada,-2.5,-9.4,-6.9,4.9,3.43,14.2
2018-01-27,18134 Monachil,Sierra Nevada,-5.6,-10.7,-8.2,1.2,0.84,10.4
2018-01-28,18134 Monachil,Sierra Nevada,-4.6,-10.0,-6.7,6.2,4.34,16.3
2018-01-29,18134 Monachil,Sierra Nevada,1.7,-6.6,-2.5,0.0,0.0,16.6
2018-01-30,18134 Monachil,Sierra Nevada,3.8,0.2,2.0,0.3,0.21,7.9
2018-01-31,18134 Monachil,Sierra Nevada,4.1,-0.7,1.9,1.1,0.77,7.9
2018-02-01,18134 Monachil,Sierra Nevada,-0.2,-7.2,-2.9,1.9,1.33,7.3
2018-02-02,18134 Monachil,Sierra Nevada,-4.2,-12.6,-8.9,12.0,8.4,14.4
2018-02-03,18134 Monachil,Sierra Nevada,-4.9,-13.5,-8.9,0.0,0.0,6.3
2018-02-04,18134 Monachil,Sierra Nevada,-4.5,-7.6,-5.9,6.5,4.55,7.2
2018-02-05,18134 Monachil,Sierra Nevada,-7.3,-11.2,-9.3,0.3,0.21,5.8
2018-02-06,18134 Monachil,Sierra Nevada,-8.0,-12.2,-10.5,1.2,0.84,9.0
2018-02-07,18134 Monachil,Sierra Nevada,-6.0,-12.1,-9.6,0.1,0.07,6.9
2018-02-08,18134 Monachil,Sierra Nevada,-5.6,-10.2,-8.3,0.2,0.14,5.9
2018-02-09,18134 Monachil,Sierra Nevada,-5.6,-11.5,-8.3,0.0,0.0,7.9
2018-02-10,18134 Monachil,Sierra Nevada,-5.2,-9.3,-7.1,0.0,0.0,5.0
2018-02-11,18134 Monachil,Sierra Nevada,0.9,-9.0,-4.2,0.0,0.0,9.2
2018-02-12,18134 Monachil,Sierra Nevada,-1.5,-8.9,-2.9,3.9,2.73,11.3
2018-02-13,18134 Monachil,Sierra Nevada,-0.7,-7.8,-3.8,0.0,0.0,6.8
2018-02-14,18134 Monachil,Sierra Nevada,3.5,-1.2,1.2,0.0,0.0,7.7
2018-02-15,18134 Monachil,Sierra Nevada,5.4,0.5,3.5,0.0,0.0,4.0
2018-02-16,18134 Monachil,Sierra Nevada,5.2,-0.2,1.9,0.3,0.14,4.5
2018-02-17,18134 Monachil,Sierra Nevada,4.2,-1.2,1.1,0.0,0.0,5.4
2018-02-18,18134 Monachil,Sierra Nevada,1.3,-3.6,-1.3,5.1,3.57,4.2
2018-02-19,18134 Monachil,Sierra Nevada,-0.0,-4.4,-2.0,2.2,1.47,6.6
2018-02-20,18134 Monachil,Sierra Nevada,0.6,-5.7,-2.7,0.0,0.0,6.7
2018-02-21,18134 Monachil,Sierra Nevada,-0.2,-7.1,-3.0,0.6,0.42,7.0
2018-02-22,18134 Monachil,Sierra Nevada,-1.3,-11.2,-5.7,0.0,0.0,9.5
2018-02-23,18134 Monachil,Sierra Nevada,0.5,-4.1,-2.0,0.0,0.0,8.6
2018-02-24,18134 Monachil,Sierra Nevada,-1.7,-5.3,-3.6,0.0,0.0,6.5
2018-02-25,18134 Monachil,Sierra Nevada,-1.3,-6.7,-4.2,1.1,0.77,6.2
2018-02-26,18134 Monachil,Sierra Nevada,3.8,-5.7,-0.8,1.8,1.26,7.8
2018-02-27,18134 Monachil,Sierra Nevada,-0.1,-2.5,-1.5,22.4,15.47,11.6
2018-02-28,18134 Monachil,Sierra Nevada,1.0,-3.7,-0.8,20.6,13.86,14.8
2018-03-01,18134 Monachil,Sierra Nevada,-0.1,-3.9,-1.0,42.4,28.91,19.2
2018-03-02,18134 Monachil,Sierra Nevada,2.7,-4.3,-0.4,73.8,35.7,21.4
2018-03-03,18134 Monachil,Sierra Nevada,0.0,-3.3,-1.9,17.5,12.18,18.3
2018-03-04,18134 Monachil,Sierra Nevada,-0.3,-3.6,-1.7,23.0,16.03,16.0
2018-03-05,18134 Monachil,Sierra Nevada,-1.3,-4.8,-3.7,42.6,29.75,15.6
2018-03-06,18134 Monachil,Sierra Nevada,-2.7,-6.5,-4.5,16.2,11.34,14.0
2018-03-07,18134 Monachil,Sierra Nevada,1.0,-6.9,-2.2,3.8,2.66,9.5
2018-03-08,18134 Monachil,Sierra Nevada,2.3,0.7,1.7,29.1,10.5,14.4
2018-03-09,18134 Monachil,Sierra Nevada,4.5,-0.7,2.4,4.9,0.84,13.7
2018-03-10,18134 Monachil,Sierra Nevada,2.8,-2.2,1.3,10.4,5.04,13.6
2018-03-11,18134 Monachil,Sierra Nevada,-2.2,-4.9,-3.7,22.9,15.96,14.8
2018-03-12,18134 Monachil,Sierra Nevada,-1.8,-5.3,-3.7,5.5,3.85,14.6
2018-03-13,18134 Monachil,Sierra Nevada,2.2,-1.9,1.1,6.4,2.31,11.6
2018-03-14,18134 Monachil,Sierra Nevada,1.8,-0.4,1.1,0.4,0.21,18.7
2018-03-15,18134 Monachil,Sierra Nevada,1.9,-4.2,-2.1,23.1,14.14,18.4
2018-03-16,18134 Monachil,Sierra Nevada,-4.0,-8.2,-5.7,1.5,1.05,7.3
2018-03-17,18134 Monachil,Sierra Nevada,-1.2,-7.2,-4.7,39.0,27.16,16.4
2018-03-18,18134 Monachil,Sierra Nevada,-0.4,-5.1,-2.7,38.7,26.25,16.1
2018-03-19,18134 Monachil,Sierra Nevada,-2.0,-5.5,-3.9,24.4,16.87,12.9
2018-03-20,18134 Monachil,Sierra Nevada,-4.2,-11.0,-8.3,5.2,3.64,16.6
2018-03-21,18134 Monachil,Sierra Nevada,-5.6,-10.4,-8.0,0.9,0.63,11.5
2018-03-22,18134 Monachil,Sierra Nevada,-4.1,-10.4,-7.1,0.0,0.0,8.2
