estacion,orientacion,altitud_base_m,altitud_cima_m,comunidad,umbria,desnivel_m
Alto Campoo,N,1530,2175,Cantabria,1,645
Astún,N,1700,2300,Aragón,1,600
Baqueira Beret,N,1500,2610,Cataluña,1,1110
Boí Taüll,N,2020,2751,Cataluña,1,731
Candanchú,N,1530,2400,Aragón,1,870
Cerler,NE,1550,2630,Aragón,0,1080
Espot,N,1540,2520,Cataluña,1,980
Formigal,N,1510,2250,Aragón,1,740
Fuentes de Invierno,N,1650,1920,Asturias,1,270
Javalambre,N,1730,2020,Aragón,1,290
La Molina,N,1700,2537,Cataluña,1,837
La Pinilla,N,1500,2250,Castilla y León,1,750
Manzaneda,N,1430,1780,Galicia,1,350
Masella,N,1600,2535,Cataluña,1,935
Panticosa,N,1520,2200,Aragón,1,680
Port Ainé,N,1650,2440,Cataluña,1,790
Port del Comte,N,1700,2390,Cataluña,1,690
Puerto de Navacerrada,N,1800,2200,Madrid,1,400
San Isidro,N,1520,2100,Castilla y León,1,580
Sierra Nevada,S,2100,3300,Andalucía,0,1200
Sierra de Béjar,N,1450,2050,Castilla y León,1,600
Tavascán,N,1640,2250,Cataluña,1,610
Valdelinares,N,1700,2020,Aragón,1,320
Valdesquí,N,1860,2280,Madrid,1,420
Valdezcaray,N,1350,2270,La Rioja,1,920
Valgrande-Pajares,N,1600,1850,Asturias,1,250
Vall de Nuria,N,1964,2252,Cataluña,1,288
Valle Laciana - Leitariegos,N,1520,1925,Castilla y León,1,405
Vallter,N,1820,2535,Cataluña,1,715
Punto de Nieve Santa Inés,N,1650,1900,Castilla y León,1,250
