Puntos turísticos;Establecimientos y personal empleado (plazas);Periodo;Total
18134 Monachil;Grado de ocupación por plazas;2026M02;54,40
18134 Monachil;Grado de ocupación por plazas;2026M01;62,36
18134 Monachil;Grado de ocupación por plazas;2025M12;45,11
18134 Monachil;Grado de ocupación por plazas;2025M11;.
18134 Monachil;Grado de ocupación por plazas;2025M10;.
18134 Monachil;Grado de ocupación por plazas;2025M09;.
18134 Monachil;Grado de ocupación por plazas;2025M08;.
18134 Monachil;Grado de ocupación por plazas;2025M07;.
18134 Monachil;Grado de ocupación por plazas;2025M06;.
18134 Monachil;Grado de ocupación por plazas;2025M05;.
18134 Monachil;Grado de ocupación por plazas;2025M04;42,33
18134 Monachil;Grado de ocupación por plazas;2025M03;60,42
18134 Monachil;Grado de ocupación por plazas;2025M02;64,70
18134 Monachil;Grado de ocupación por plazas;2025M01;50,77
18134 Monachil;Grado de ocupación por plazas;2024M12;.
18134 Monachil;Grado de ocupación por plazas;2024M11;.
18134 Monachil;Grado de ocupación por plazas;2024M10;.
18134 Monachil;Grado de ocupación por plazas;2024M09;.
18134 Monachil;Grado de ocupación por plazas;2024M08;.
18134 Monachil;Grado de ocupación por plazas;2024M07;.
18134 Monachil;Grado de ocupación por plazas;2024M06;.
18134 Monachil;Grado de ocupación por plazas;2024M05;.
18134 Monachil;Grado de ocupación por plazas;2024M04;38,28
18134 Monachil;Grado de ocupación por plazas;2024M03;49,45
18134 Monachil;Grado de ocupación por plazas;2024M02;61,01
18134 Monachil;Grado de ocupación por plazas;2024M01;51,99
18134 Monachil;Grado de ocupación por plazas;2023M12;""
18134 Monachil;Grado de ocupación por plazas;2023M11;""
18134 Monachil;Grado de ocupación por plazas;2023M10;""
18134 Monachil;Grado de ocupación por plazas;2023M09;""
18134 Monachil;Grado de ocupación por plazas;2023M08;""
18134 Monachil;Grado de ocupación por plazas;2023M07;""
18134 Monachil;Grado de ocupación por plazas;2023M06;""
18134 Monachil;Grado de ocupación por plazas;2023M05;""
18134 Monachil;Grado de ocupación por plazas;2023M04;""
18134 Monachil;Grado de ocupación por plazas;2023M03;""
18134 Monachil;Grado de ocupación por plazas;2023M02;""
18134 Monachil;Grado de ocupación por plazas;2023M01;""
18134 Monachil;Grado de ocupación por plazas;2022M12;""
18134 Monachil;Grado de ocupación por plazas;2022M11;""
