Puntos turísticos;Establecimientos y personal empleado (plazas);Periodo;Total
18134 Monachil;Grado de ocupación por plazas en fin de semana;2026M02;55,05
18134 Monachil;Grado de ocupación por plazas en fin de semana;2026M01;68,85
18134 Monachil;Grado de ocupación por plazas en fin de semana;2025M12;53,96
18134 Monachil;Grado de ocupación por plazas en fin de semana;2025M11;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2025M10;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2025M09;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2025M08;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2025M07;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2025M06;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2025M05;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2025M04;42,26
18134 Monachil;Grado de ocupación por plazas en fin de semana;2025M03;65,60
18134 Monachil;Grado de ocupación por plazas en fin de semana;2025M02;72,56
18134 Monachil;Grado de ocupación por plazas en fin de semana;2025M01;58,76
18134 Monachil;Grado de ocupación por plazas en fin de semana;2024M12;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2024M11;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2024M10;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2024M09;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2024M08;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2024M07;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2024M06;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2024M05;.
18134 Monachil;Grado de ocupación por plazas en fin de semana;2024M04;58,59
18134 Monachil;Grado de ocupación por plazas en fin de semana;2024M03;38,23
18134 Monachil;Grado de ocupación por plazas en fin de semana;2024M02;65,87
18134 Monachil;Grado de ocupación por plazas en fin de semana;2024M01;52,13
18134 Monachil;Grado de ocupación por plazas en fin de semana;2023M12;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2023M11;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2023M10;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2023M09;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2023M08;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2023M07;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2023M06;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2023M05;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2023M04;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2023M03;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2023M02;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2023M01;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2022M12;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2022M11;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2022M10;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2022M09;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2022M08;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2022M07;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2022M06;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2022M05;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2022M04;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2022M03;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2022M02;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2022M01;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2021M12;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2021M11;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2021M10;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2021M09;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2021M08;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2021M07;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2021M06;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2021M05;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2021M04;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2021M03;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2021M02;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2021M01;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2020M12;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2020M11;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2020M10;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2020M09;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2020M08;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2020M07;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2020M06;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2020M05;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2020M04;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2020M03;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2020M02;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2020M01;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2019M12;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2019M11;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2019M10;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2019M09;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2019M08;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2019M07;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2019M06;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2019M05;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2019M04;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2019M03;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2019M02;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2019M01;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2018M12;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2018M11;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2018M10;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2018M09;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2018M08;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2018M07;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2018M06;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2018M05;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2018M04;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2018M03;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2018M02;""
18134 Monachil;Grado de ocupación por plazas en fin de semana;2018M01;""
22054 Benasque;Grado de ocupación por plazas en fin de semana;2026M02;83,34
22054 Benasque;Grado de ocupación por plazas en fin de semana;2026M01;72,75
22054 Benasque;Grado de ocupación por plazas en fin de semana;2025M12;50,70
22054 Benasque;Grado de ocupación por plazas en fin de semana;2025M11;.
22054 Benasque;Grado de ocupación por plazas en fin de semana;2025M10;47,00
22054 Benasque;Grado de ocupación por plazas en fin de semana;2025M09;63,39
22054 Benasque;Grado de ocupación por plazas en fin de semana;2025M08;54,66
22054 Benasque;Grado de ocupación por plazas en fin de semana;2025M07;62,15
22054 Benasque;Grado de ocupación por plazas en fin de semana;2025M06;78,43
22054 Benasque;Grado de ocupación por plazas en fin de semana;2025M05;.
22054 Benasque;Grado de ocupación por plazas en fin de semana;2025M04;49,81
22054 Benasque;Grado de ocupación por plazas en fin de semana;2025M03;64,18
22054 Benasque;Grado de ocupación por plazas en fin de semana;2025M02;83,82
22054 Benasque;Grado de ocupación por plazas en fin de semana;2025M01;58,34
22054 Benasque;Grado de ocupación por plazas en fin de semana;2024M12;54,90
22054 Benasque;Grado de ocupación por plazas en fin de semana;2024M11;.
22054 Benasque;Grado de ocupación por plazas en fin de semana;2024M10;.
22054 Benasque;Grado de ocupación por plazas en fin de semana;2024M09;51,73
22054 Benasque;Grado de ocupación por plazas en fin de semana;2024M08;67,62
22054 Benasque;Grado de ocupación por plazas en fin de semana;2024M07;68,67
22054 Benasque;Grado de ocupación por plazas en fin de semana;2024M06;57,20
22054 Benasque;Grado de ocupación por plazas en fin de semana;2024M05;.
22054 Benasque;Grado de ocupación por plazas en fin de semana;2024M04;.
22054 Benasque;Grado de ocupación por plazas en fin de semana;2024M03;67,88
22054 Benasque;Grado de ocupación por plazas en fin de semana;2024M02;66,54
22054 Benasque;Grado de ocupación por plazas en fin de semana;2024M01;46,25
22054 Benasque;Grado de ocupación por plazas en fin de semana;2023M12;54,73
22054 Benasque;Grado de ocupación por plazas en fin de semana;2023M11;.
22054 Benasque;Grado de ocupación por plazas en fin de semana;2023M10;67,58
22054 Benasque;Grado de ocupación por plazas en fin de semana;2023M09;52,65
22054 Benasque;Grado de ocupación por plazas en fin de semana;2023M08;70,75
22054 Benasque;Grado de ocupación por plazas en fin de semana;2023M07;52,91
22054 Benasque;Grado de ocupación por plazas en fin de semana;2023M06;69,03
22054 Benasque;Grado de ocupación por plazas en fin de semana;2023M05;.
22054 Benasque;Grado de ocupación por plazas en fin de semana;2023M04;21,18
22054 Benasque;Grado de ocupación por plazas en fin de semana;2023M03;67,83
22054 Benasque;Grado de ocupación por plazas en fin de semana;2023M02;81,62
22054 Benasque;Grado de ocupación por plazas en fin de semana;2023M01;54,95
22054 Benasque;Grado de ocupación por plazas en fin de semana;2022M12;30,41
22054 Benasque;Grado de ocupación por plazas en fin de semana;2022M11;.
22054 Benasque;Grado de ocupación por plazas en fin de semana;2022M10;37,72
22054 Benasque;Grado de ocupación por plazas en fin de semana;2022M09;64,21
22054 Benasque;Grado de ocupación por plazas en fin de semana;2022M08;72,71
22054 Benasque;Grado de ocupación por plazas en fin de semana;2022M07;55,96
22054 Benasque;Grado de ocupación por plazas en fin de semana;2022M06;61,40
22054 Benasque;Grado de ocupación por plazas en fin de semana;2022M05;.
22054 Benasque;Grado de ocupación por plazas en fin de semana;2022M04;38,00
