"Time","Baqueira-Beret","Sierra Nevada Granada","Formigal","Valdesquí Madrid","La Molina"
"2017-12-01",46,50,19,9,21
"2018-01-01",44,51,5,23,25
"2018-02-01",46,47,9,23,31
"2018-03-01",30,81,14,17,20
"2018-04-01",7,50,4,12,5
"2018-05-01",2,16,1,1,3
"2018-06-01",2,12,1,0,3
"2018-07-01",3,17,2,0,4
"2018-08-01",4,17,2,0,6
"2018-09-01",4,14,1,0,4
"2018-10-01",10,29,4,1,5
"2018-11-01",17,51,11,4,8
"2018-12-01",36,69,22,4,15
"2019-01-01",25,87,29,10,22
"2019-02-01",10,83,24,17,19
"2019-03-01",6,50,12,6,10
"2019-04-01",3,53,7,4,7
"2019-05-01",1,13,1,0,2
"2019-06-01",1,11,1,0,3
"2019-07-01",1,14,1,0,4
"2019-08-01",2,16,2,0,5
"2019-09-01",2,16,2,0,3
"2019-10-01",3,24,3,1,3
"2019-11-01",8,67,19,7,10
"2019-12-01",13,81,21,8,17
"2020-01-01",13,99,25,15,25
"2020-02-01",9,64,20,4,17
"2020-03-01",6,25,11,3,7
"2020-04-01",1,8,1,1,1
"2020-05-01",1,6,1,0,1
"2020-06-01",1,5,1,0,2
"2020-07-01",1,8,1,0,4
"2020-08-01",2,11,1,0,7
"2020-09-01",2,8,2,1,4
"2020-10-01",3,14,3,1,4
"2020-11-01",3,16,2,2,4
"2020-12-01",11,60,5,7,13
"2021-01-01",7,60,3,20,5
"2021-02-01",3,24,2,16,4
"2021-03-01",4,32,1,9,9
"2021-04-01",1,15,1,1,2
"2021-05-01",1,6,1,0,2
"2021-06-01",1,5,1,0,2
"2021-07-01",2,7,1,0,3
"2021-08-01",2,11,1,0,6
"2021-09-01",2,8,1,0,3
"2021-10-01",2,12,2,0,3
"2021-11-01",9,40,14,4,9
"2021-12-01",34,71,32,7,22
"2022-01-01",28,85,39,9,24
"2022-02-01",34,69,31,6,17
"2022-03-01",21,65,16,15,12
"2022-04-01",12,36,9,11,6
"2022-05-01",3,7,1,1,2
"2022-06-01",2,5,1,0,2
"2022-07-01",3,6,2,0,3
"2022-08-01",2,9,2,0,5
"2022-09-01",1,10,2,0,3
"2022-10-01",0,13,3,1,3
"2022-11-01",0,32,10,2,6
"2022-12-01",1,72,26,4,14
"2023-01-01",13,97,36,14,18
"2023-02-01",24,82,21,15,20
"2023-03-01",15,40,11,5,9
"2023-04-01",5,11,3,0,3
"2023-05-01",2,8,1,0,2
"2023-06-01",2,4,0,0,2
"2023-07-01",3,4,1,0,3
"2023-08-01",4,6,1,1,5
"2023-09-01",3,5,1,0,3
"2023-10-01",5,11,2,1,3
"2023-11-01",17,20,6,2,6
"2023-12-01",50,48,14,3,14
"2024-01-01",49,77,19,16,18
"2024-02-01",44,66,18,8,13
"2024-03-01",27,49,14,17,13
"2024-04-01",5,18,2,4,3
"2024-05-01",2,5,0,1,2
"2024-06-01",2,3,0,0,2
"2024-07-01",3,3,0,0,2
"2024-08-01",5,5,0,1,4
"2024-09-01",4,7,1,0,2
"2024-10-01",7,13,2,1,2
"2024-11-01",15,22,4,1,4
"2024-12-01",45,48,16,6,17
"2025-01-01",48,74,19,11,16
"2025-02-01",23,69,15,9,17
"2025-03-01",18,73,8,28,15
"2025-04-01",7,31,3,11,4
"2025-05-01",2,7,0,1,2
"2025-06-01",2,4,0,0,2
"2025-07-01",3,4,0,0,3
"2025-08-01",3,7,0,1,4
"2025-09-01",3,7,0,0,2
"2025-10-01",5,9,1,0,2
"2025-11-01",17,31,3,2,7
"2025-12-01",25,73,9,12,21
"2026-01-01",27,100,9,21,30
"2026-02-01",18,65,8,15,19
"2026-03-01",14,42,5,8,11
