"Time","Aramón Cerler","Boí Taüll","Estación de Esquí y Montaña de Masella","Estación de Esquí de Astún","La Pinilla Mountain Resorts | Estación de Esquí y centro de experiencias"
"2017-12-01",33,0,30,32,16
"2018-01-01",35,0,32,32,39
"2018-02-01",37,0,39,32,31
"2018-03-01",29,0,24,25,21
"2018-04-01",7,0,13,10,8
"2018-05-01",2,0,3,2,3
"2018-06-01",3,0,2,2,3
"2018-07-01",4,0,2,3,2
"2018-08-01",6,0,2,5,2
"2018-09-01",2,0,3,2,2
"2018-10-01",4,0,10,4,2
"2018-11-01",14,0,24,10,4
"2018-12-01",35,0,24,23,6
"2019-01-01",38,0,29,33,20
"2019-02-01",29,0,25,28,23
"2019-03-01",17,0,12,20,7
"2019-04-01",11,0,14,12,5
"2019-05-01",3,0,3,2,2
"2019-06-01",3,0,3,2,2
"2019-07-01",3,0,2,3,2
"2019-08-01",4,0,2,4,2
"2019-09-01",3,0,2,2,2
"2019-10-01",3,0,4,4,2
"2019-11-01",17,0,21,19,8
"2019-12-01",27,0,28,26,10
"2020-01-01",29,0,33,29,15
"2020-02-01",26,0,20,29,6
"2020-03-01",13,0,11,15,3
"2020-04-01",2,0,2,1,1
"2020-05-01",1,0,1,1,1
"2020-06-01",2,0,1,2,1
"2020-07-01",3,0,1,4,2
"2020-08-01",5,0,2,7,2
"2020-09-01",3,0,2,3,3
"2020-10-01",3,0,4,5,2
"2020-11-01",3,0,6,3,2
"2020-12-01",9,0,21,12,6
"2021-01-01",6,0,7,12,15
"2021-02-01",3,0,6,11,5
"2021-03-01",2,1,14,13,2
"2021-04-01",1,0,4,3,1
"2021-05-01",1,0,1,2,1
"2021-06-01",1,0,1,2,2
"2021-07-01",2,0,1,4,2
"2021-08-01",3,0,2,6,2
"2021-09-01",1,0,2,3,1
"2021-10-01",2,0,3,3,2
"2021-11-01",10,2,15,11,4
"2021-12-01",24,6,32,26,13
"2022-01-01",26,7,31,37,12
"2022-02-01",26,5,26,26,7
"2022-03-01",17,1,17,20,7
"2022-04-01",7,1,10,12,4
"2022-05-01",1,0,1,2,1
"2022-06-01",2,0,2,3,1
"2022-07-01",3,0,2,4,1
"2022-08-01",3,0,3,5,2
"2022-09-01",1,0,2,3,1
"2022-10-01",2,0,3,3,2
"2022-11-01",6,0,11,11,3
"2022-12-01",18,2,25,26,4
"2023-01-01",28,3,31,31,16
"2023-02-01",20,4,28,23,16
"2023-03-01",5,1,14,19,8
"2023-04-01",1,0,3,7,3
"2023-05-01",0,0,2,2,2
"2023-06-01",0,0,1,2,2
"2023-07-01",1,0,1,4,1
"2023-08-01",1,0,2,5,1
"2023-09-01",0,0,2,2,1
"2023-10-01",1,0,2,4,2
"2023-11-01",2,0,8,12,2
"2023-12-01",11,3,22,33,6
"2024-01-01",18,5,29,41,25
"2024-02-01",16,6,21,37,11
"2024-03-01",12,6,20,27,20
"2024-04-01",2,1,4,5,2
"2024-05-01",1,1,1,2,2
"2024-06-01",1,1,1,2,2
"2024-07-01",1,1,1,3,2
"2024-08-01",1,2,1,5,2
"2024-09-01",1,1,2,3,3
"2024-10-01",1,1,3,4,2
"2024-11-01",2,2,6,7,2
"2024-12-01",15,8,28,32,7
"2025-01-01",15,10,25,100,12
"2025-02-01",12,9,25,31,12
"2025-03-01",11,7,25,24,16
"2025-04-01",4,3,7,6,3
"2025-05-01",0,0,1,2,2
"2025-06-01",0,1,1,2,2
"2025-07-01",1,1,1,4,1
"2025-08-01",1,1,2,5,1
"2025-09-01",1,1,2,2,3
"2025-10-01",1,1,2,3,1
"2025-11-01",3,3,11,13,2
"2025-12-01",8,6,33,28,9
"2026-01-01",8,6,39,37,17
"2026-02-01",6,5,29,32,10
"2026-03-01",4,4,14,20,3
