"Time","esquiar","estaciones de esquí","forfait esquí"
"2017-12-01",63,2,1
"2018-01-01",73,2,1
"2018-02-01",66,2,1
"2018-03-01",34,1,0
"2018-04-01",12,1,0
"2018-05-01",5,0,0
"2018-06-01",4,0,0
"2018-07-01",5,0,0
"2018-08-01",8,0,0
"2018-09-01",11,1,0
"2018-10-01",20,1,0
"2018-11-01",37,2,0
"2018-12-01",52,3,0
"2019-01-01",62,3,1
"2019-02-01",56,2,1
"2019-03-01",22,1,0
"2019-04-01",14,1,0
"2019-05-01",6,0,0
"2019-06-01",5,0,0
"2019-07-01",6,0,0
"2019-08-01",9,0,0
"2019-09-01",13,0,0
"2019-10-01",15,1,0
"2019-11-01",41,2,1
"2019-12-01",63,3,1
"2020-01-01",64,3,2
"2020-02-01",41,2,1
"2020-03-01",13,1,0
"2020-04-01",5,0,0
"2020-05-01",5,0,0
"2020-06-01",5,0,0
"2020-07-01",4,0,0
"2020-08-01",6,0,0
"2020-09-01",9,1,0
"2020-10-01",13,1,0
"2020-11-01",15,1,0
"2020-12-01",39,4,1
"2021-01-01",48,2,1
"2021-02-01",23,1,0
"2021-03-01",20,1,0
"2021-04-01",6,0,0
"2021-05-01",5,0,0
"2021-06-01",4,0,0
"2021-07-01",4,0,0
"2021-08-01",7,0,0
"2021-09-01",9,1,0
"2021-10-01",15,0,0
"2021-11-01",39,3,1
"2021-12-01",77,3,1
"2022-01-01",86,4,3
"2022-02-01",56,2,1
"2022-03-01",29,1,1
"2022-04-01",16,1,0
"2022-05-01",5,0,0
"2022-06-01",5,0,0
"2022-07-01",6,0,0
"2022-08-01",9,1,0
"2022-09-01",13,1,0
"2022-10-01",18,1,0
"2022-11-01",35,1,0
"2022-12-01",66,3,1
"2023-01-01",77,4,2
"2023-02-01",65,3,1
"2023-03-01",29,2,0
"2023-04-01",8,1,0
"2023-05-01",5,0,0
"2023-06-01",5,0,0
"2023-07-01",7,0,0
"2023-08-01",9,1,0
"2023-09-01",13,1,0
"2023-10-01",21,1,0
"2023-11-01",38,2,1
"2023-12-01",65,4,1
"2024-01-01",76,4,1
"2024-02-01",43,2,0
"2024-03-01",35,2,1
"2024-04-01",8,1,0
"2024-05-01",5,0,0
"2024-06-01",5,0,0
"2024-07-01",6,0,0
"2024-08-01",11,1,0
"2024-09-01",15,1,0
"2024-10-01",22,1,0
"2024-11-01",35,2,0
"2024-12-01",81,3,1
"2025-01-01",76,3,1
"2025-02-01",65,2,1
"2025-03-01",37,2,0
"2025-04-01",14,1,0
"2025-05-01",6,0,0
"2025-06-01",5,0,0
"2025-07-01",7,1,0
"2025-08-01",12,1,0
"2025-09-01",16,1,0
"2025-10-01",21,1,0
"2025-11-01",42,3,1
"2025-12-01",83,6,2
"2026-01-01",100,5,3
"2026-02-01",62,5,2
"2026-03-01",33,2,1
